"","PMID","FullCitation"
"34","21799033","Bridges KA, Hirai H, Buser CA, et al. (2011) MK-1775, a novel Wee1 kinase inhibitor, radiosensitizes p53-defective human tumor cells. Clin Cancer Res 17(17):5638-48"
"35","23447401","Briggs S, Tomlinson I (2013) Germline and somatic polymerase ε and δ mutations define a new class of hypermutated colorectal and endometrial cancers. J Pathol 230(2):148-53"
"36","19935675","Brown CJ, Lain S, Verma CS, et al. (2009) Awakening guardian angels: drugging the p53 pathway. Nat Rev Cancer 9(12):862-73"
"37","27499907","Budczies J, Bockmayr M, Denkert C, et al. (2015) Classical pathology and mutational load of breast cancer - integration of two worlds. J Pathol Clin Res 1(4):225-38"
"38","22034109","Buerki N, Gautier L, Kovac M, et al. (2012) Evidence for breast cancer as an integral part of Lynch syndrome. Genes Chromosomes Cancer 51(1):83-91"
"39","22949682","Burke JE, Perisic O, Masson GR, et al. (2012) Oncogenic mutations mimic and enhance dynamic events in the natural activation of phosphoinositide 3-kinase p110α (PIK3CA). Proc Natl Acad Sci USA 109(38):15259-64"
"40","17629517","Butte MJ, Keir ME, Phamduy TB, et al. (2007) Programmed death-1 ligand 1 interacts specifically with the B7-1 costimulatory molecule to inhibit T cell responses. Immunity 27(1):111-22"
"41","23470564","Camp ER, Wang C, Little EC, et al. (2013) Transferrin receptor targeting nanomedicine delivering wild-type p53 gene sensitizes pancreatic cancer to gemcitabine therapy. Cancer Gene Ther 20(4):222-8"
"42","22810696","Cancer Genome Atlas Network (2012) Comprehensive molecular characterization of human colon and rectal cancer. Nature 487(7407):330-7"
"43","23000897","Cancer Genome Atlas Network (2012) Comprehensive molecular portraits of human breast tumours. Nature 490(7418):61-70"
"44","25631445","Cancer Genome Atlas Network (2015) Comprehensive genomic characterization of head and neck squamous cell carcinomas. Nature 517(7536):576-82"
"45","22960745","Cancer Genome Atlas Research Network (2012) Comprehensive genomic characterization of squamous cell lung cancers. Nature 489(7417):519-25"
"46","23636398","Cancer Genome Atlas Research Network, Kandoth C, Schultz N, et al. (2013) Integrated genomic characterization of endometrial carcinoma. Nature 497(7447):67-73"
"47","23444215","Catalanotti F, Solit DB, Pulitzer MP, et al. (2013) Phase II trial of MEK inhibitor selumetinib (AZD6244, ARRY-142886) in patients with BRAFV600E/K-mutated melanoma. Clin Cancer Res 19(8):2257-64"
"48","12217765","Ceccaroni M, Genuardi M, Legge F, et al. (2002) BRCA1-related malignancies in a family presenting with von Recklinghausen's disease. Gynecol Oncol 86(3):375-8"
"49","20581867","Chakrabarty A, Rexer BN, Wang SE, et al. (2010) H1047R phosphatidylinositol 3-kinase mutant enhances HER2-mediated transformation by heregulin production and activation of HER3. Oncogene 29(37):5193-203"
"50","23221337","Chang T, Krisman K, Theobald EH, et al. (2013) Sustained MEK inhibition abrogates myeloproliferative disease in Nf1 mutant mice. J Clin Invest 123(1):335-9"
"51","24185513","Chan-On W, Nairismägi ML, Ong CK, et al. (2013) Exome sequencing identifies distinct mutational patterns in liver fluke-related and non-infection-related bile duct cancers. Nat Genet 45(12):1474-8"
"52","25583476","Chen K, Yang D, Li X, et al. (2015) Mutational landscape of gastric adenocarcinoma in Chinese: Implications for prognosis and therapy. Proc Natl Acad Sci USA ePub Jan 2015"
"53","24874471","Chen Y, McGee J, Chen X, et al. (2014) Identification of druggable cancer driver genes amplified across TCGA datasets. PLoS ONE 9(5):e98293"
"54","1409633","Cheng JQ, Godwin AK, Bellacosa A, et al. (1992) AKT2, a putative oncogene encoding a member of a subfamily of protein-serine/threonine kinases, is amplified in human ovarian carcinomas. Proc Natl Acad Sci USA 89(19):9267-71"
"55","21519185","Chin YR, Toker A Akt isoform-specific signaling in breast cancer: uncovering an anti-migratory role for palladin. Cell Adh Migr 5(3):211-4"
"56","24925223","Chou A, Toon CW, Clarkson A, et al. (2014) Loss of ARID1A expression in colorectal carcinoma is strongly associated with mismatch repair deficiency. Hum Pathol 45(8):1697-703"
"57","22997091","Christgen M, Noskowicz M, Schipper E, et al. (2013) Oncogenic PIK3CA mutations in lobular breast cancer progression. Genes Chromosomes Cancer 52(1):69-80"
"58","18409144","Cicenas J The potential role of Akt phosphorylation in human cancers. Int J Biol Markers 23(1):1-9"
"59","26451490","Ciriello G, Gatza ML, Beck AH, et al. (2015) Comprehensive Molecular Portraits of Invasive Lobular Breast Cancer. Cell 163(2):506-19"
"60","23171949","Craig DW, O'Shaughnessy JA, Kiefer JA, et al. (2013) Genome and transcriptome sequencing in prospective metastatic triple-negative breast cancer uncovers therapeutic vulnerabilities. Mol Cancer Ther 12(1):104-16"
"61","20530683","Dan S, Okamura M, Seki M, et al. (2010) Correlating phosphatidylinositol 3-kinase inhibitor efficacy with signaling pathway status: in silico and biological evaluations. Cancer Res 70(12):4982-94"
"62","12615735","de Leeuw WJ, van Puijenbroek M, Tollenaar RA, et al. (2003) Correspondence re: A. Müller et al., Exclusion of breast cancer as an integral tumor of hereditary nonpolyposis colorectal cancer. Cancer Res., 62: 1014-1019, 2002. Cancer Res 63(5):1148-9"
"63","22829094","Derenzini E, Lemoine M, Buglio D, et al. (2011) The JAK inhibitor AZD1480 regulates proliferation and immunity in Hodgkin lymphoma. Blood Cancer J 1(12):e46"
"64","26627007","Dogruluk T, Tsang YH, Espitia M, et al. (2015) Identification of Variant-Specific Functions of PIK3CA by Rapid Phenotyping of Rare Mutations. Cancer Res 75(24):5341-54"
"65","26787751","Dolly S, Wagner AJ, Bendell JC, et al. (2016) Phase I Study of Apitolisib (GDC-0980), Dual Phosphatidylinositol-3-Kinase and Mammalian Target of Rapamycin Kinase Inhibitor, in Patients with Advanced Solid Tumors. Clin Cancer Res ePub Jan 2016"
"66","28029918","Dombi E, Baldwin A, Marcus LJ, et al. (2016) Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas. N Engl J Med 375(26):2550-2560"
"67","28039262","Dong ZY, Zhong WZ, Zhang XC, et al. (2016) Potential Predictive Value of TP53 and KRAS Mutation Status for Response to PD-1 Blockade Immunotherapy in Lung Adenocarcinoma. Clin Cancer Res"
"68","23525077","Dulak AM, Stojanov P, Peng S, et al. (2013) Exome and whole-genome sequencing of esophageal adenocarcinoma identifies recurrent driver events and mutational complexity. Nat Genet 45(5):478-86"
"69","19629070","Engelman JA (2009) Targeting PI3K signalling in cancer: opportunities, challenges and limitations. Nat Rev Cancer 9(8):550-62"
"70","23036231","Evans DG, Huson SM, Birch JM (2012) Malignant peripheral nerve sheath tumours in inherited disease. Clin Sarcoma Res 2(1):17"
"71","26970723","Fehrenbacher L, Spira A, Ballinger M, et al. (2016) Atezolizumab versus docetaxel for patients with previously treated non-small-cell lung cancer (POPLAR): a multicentre, open-label, phase 2 randomised controlled trial. Lancet 387(10030):1837-46"
"72","22245973","Fleming GF, Ma CX, Huo D, et al. (2012) Phase II trial of temsirolimus in patients with metastatic breast cancer. Breast Cancer Res Treat 136(2):355-63"
"73","23305873","Fohlin H, Pérez-Tenorio G, Fornander T, et al. (2013) Akt2 expression is associated with good long-term prognosis in oestrogen receptor positive breast cancer. Eur J Cancer 49(6):1196-204"
"74","27179933","Fransson Å, Glaessgen D, Alfredsson J, et al. (2016) Strong synergy with APR-246 and DNA-damaging drugs in primary cancer cells from patients with TP53 mutant High-Grade Serous ovarian cancer. J Ovarian Res 9(1):27"
"75","24608574","Fritsch C, Huang A, Chatenay-Rivauday C, et al. (2014) Characterization of the Novel and Specific PI3Kα Inhibitor NVP-BYL719 and Development of the Patient Stratification Strategy for Clinical Trials. Mol Cancer Ther 13(5):1117-29"
"76","15637391","Garber JE, Offit K (2005) Hereditary cancer predisposition syndromes. J Clin Oncol 23(2):276-92"
"77","25891174","Garon EB, Rizvi NA, Hui R, et al. (2015) Pembrolizumab for the Treatment of Non-Small-Cell Lung Cancer. N Engl J Med ePub Apr 2015"
"78","25392179","Gatalica Z, Snyder C, Maney T, et al. (2014) Programmed cell death 1 (PD-1) and its ligand (PD-L1) in common cancers and their correlation with molecular cancer type. Cancer Epidemiol Biomarkers Prev 23(12):2965-70"
"79","18347814","Geng L, Huang D, Liu J, et al. (2008) B7-H1 up-regulated expression in human pancreatic carcinoma tissue associates with tumor progression. J Cancer Res Clin Oncol 134(9):1021-7"
"80","18294387","Ghebeh H, Barhoush E, Tulbah A, et al. (2008) FOXP3+ Tregs and B7-H1+/PD-1+ T lymphocytes co-infiltrate the tumor tissues of high-risk breast cancer patients: Implication for immunotherapy. BMC Cancer 8:57"
"81","16611412","Ghebeh H, Mohammed S, Al-Omair A, et al. (2006) The B7-H1 (PD-L1) T lymphocyte-inhibitory molecule is expressed in breast cancer patients with infiltrating ductal carcinoma: correlation with important high-risk prognostic factors. Neoplasia 8(3):190-8"
"82","19204208","Gonzalez KD, Noltner KA, Buzin CH, et al. (2009) Beyond Li Fraumeni Syndrome: clinical characteristics of families with p53 germline mutations. J Clin Oncol 27(8):1250-6"
"83","20628145","Green MR, Monti S, Rodig SJ, et al. (2010) Integrative analysis reveals selective 9p24.1 amplification, increased PD-1 ligand expression, and further induction via JAK2 in nodular sclerosing Hodgkin lymphoma and primary mediastinal large B-cell lymphoma. Blood 116(17):3268-77"
"84","27900363","Gröschel S, Bommer M, Hutter B, et al. (2016) Integration of genomics and histology revises diagnosis and enables effective therapy of refractory cancer of unknown primary with PDL1 amplification. Cold Spring Harb Mol Case Stud 2(6):a001180"
"85","23097632","Guan B, Gao M, Wu CH, et al. (2012) Functional analysis of in-frame indel ARID1A mutations reveals new regulatory mechanisms of its tumor suppressor functions. Neoplasia 14(10):986-93"
"86","21900401","Guan B, Wang TL, Shih IeM (2011) ARID1A, a factor that promotes formation of SWI/SNF-mediated chromatin remodeling, is a tumor suppressor in gynecologic cancers. Cancer Res 71(21):6718-27"
"87","15588864","Güran S, Safali M (2005) A case of neurofibromatosis and breast cancer: loss of heterozygosity of NF1 in breast cancer. Cancer Genet Cytogenet 156(1):86-8"
"88","17376864","Gymnopoulos M, Elsliger MA, Vogt PK (2007) Rare cancer-specific mutations in PIK3CA show gain of function. Proc Natl Acad Sci USA 104(13):5569-74"
"89","17360651","Hamanishi J, Mandai M, Iwasaki M, et al. (2007) Programmed cell death 1 ligand 1 and tumor-infiltrating CD8+ T lymphocytes are prognostic factors of human ovarian cancer. Proc Natl Acad Sci USA 104(9):3360-5"
"90","18314908","Han W, Jung EM, Cho J, et al. (2008) DNA copy number alterations and expression of relevant genes in triple-negative breast cancer. Genes Chromosomes Cancer 47(6):490-9"
"91","24839032","Haricharan S, Bainbridge MN, Scheet P, et al. (2014) Somatic mutation load of estrogen receptor-positive breast tumors predicts overall survival: an analysis of genome sequence data. Breast Cancer Res Treat 146(1):211-20"
"92","21870995","Hasan A, Ghebeh H, Lehe C, et al. (2011) Therapeutic targeting of B7-H1 in breast cancer. Expert Opin Ther Targets 15(10):1211-25"
"93","1904223","Hattori S, Ohmi N, Maekawa M, et al. (1991) Antibody against neurofibromatosis type 1 gene product reacts with a triton-insoluble GTPase activating protein toward ras p21. Biochem Biophys Res Commun 177(1):83-9"
"94","24583393","Heitzer E, Tomlinson I (2014) Replicative DNA polymerase mutations in cancer. Curr Opin Genet Dev 24:107-13"
"95","25680375","Herbst RS, Gandara DR, Hirsch FR, et al. (2015) Lung Master Protocol (Lung-MAP)-A Biomarker-Driven Protocol for Accelerating Development of Therapies for Squamous Cell Lung Cancer: SWOG S1400. Clin Cancer Res 21(7):1514-24"
"96","25428504","Herbst RS, Soria JC, Kowanetz M, et al. (2014) Predictive correlates of response to the anti-PD-L1 antibody MPDL3280A in cancer patients. Nature 515(7528):563-7"
"97","23875803","Hill VK, Gartner JJ, Samuels Y, et al. (2013) The genetics of melanoma: recent advances. Annu Rev Genomics Hum Genet 14:257-79"
"98","20143437","Hino R, Kabashima K, Kato Y, et al. (2010) Tumor cell expression of programmed cell death-1 ligand 1 is a prognostic factor for malignant melanoma. Cancer 116(7):1757-66"
"99","20107315","Hirai H, Arai T, Okada M, et al. (2010) MK-1775, a small molecule Wee1 inhibitor, enhances anti-tumor efficacy of various DNA-damaging agents, including 5-fluorouracil. Cancer Biol Ther 9(7):514-22"
"100","20571069","Hirai H, Sootome H, Nakatsuru Y, et al. (2010) MK-2206, an allosteric Akt inhibitor, enhances antitumor efficacy by standard chemotherapeutic agents or molecular targeted drugs in vitro and in vivo. Mol Cancer Ther 9(7):1956-67"
"101","21337521","Holland DG, Burleigh A, Git A, et al. (2011) ZNF703 is a common Luminal B breast cancer oncogene that differentially regulates luminal and basal progenitors in human mammary epithelium. EMBO Mol Med 3(3):167-80"
"102","22120714","Hon WC, Berndt A, Williams RL (2012) Regulation of lipid binding underlies the activation mechanism of class IA PI3-kinases. Oncogene 31(32):3655-66"
"103","18317450","Horn S, Bergholz U, Jücker M, et al. (2008) Mutations in the catalytic subunit of class IA PI3K confer leukemogenic potential to hematopoietic cells. Oncogene 27(29):4096-106"
"104","25195947","Huang H, Lin M, Tseng L, et al. (2014) Ovarian and endometrial endometrioid adenocarcinomas have distinct profiles of microsatellite instability, PTEN expression, and ARID1A expression. Histopathology ePub Sep 2014"
"105","24336158","Huang HN, Lin MC, Huang WC, et al. (2013) Loss of ARID1A expression and its relationship with PI3K-Akt pathway alterations and ZNF217 amplification in ovarian clear cell carcinoma. Mod Pathol ePub Dec 2013"
"106","22922871","Huang J, Deng Q, Wang Q, et al. (2012) Exome sequencing of hepatitis B virus-associated hepatocellular carcinoma. Nat Genet 44(10):1117-21"
"107","26092818","Hurvitz SA, Andre F, Jiang Z, et al. (2015) Combination of everolimus with trastuzumab plus paclitaxel as first-line treatment for patients with HER2-positive advanced breast cancer (BOLERO-1): a phase 3, randomised, double-blind, multicentre trial. Lancet Oncol 16(7):816-29"
"108","25394778","Hussein YR, Weigelt B, Levine DA, et al. (2014) Clinicopathological analysis of endometrial carcinomas harboring somatic POLE exonuclease domain mutations. Mod Pathol ePub Nov 2014"
"109","15930273","Ikenoue T, Kanai F, Hikiba Y, et al. (2005) Functional analysis of PIK3CA gene mutations in human colorectal cancer. Cancer Res 65(11):4562-7"
"110","22805291","Infante JR, Fecher LA, Falchook GS, et al. (2012) Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial. Lancet Oncol 13(8):773-81"
"111","23583440","Infante JR, Papadopoulos KP, Bendell JC, et al. (2013) A phase 1b study of trametinib, an oral Mitogen-activated protein kinase kinase (MEK) inhibitor, in combination with gemcitabine in advanced solid tumours. Eur J Cancer 49(9):2077-85"
"112","12218188","Iwai Y, Ishida M, Tanaka Y, et al. (2002) Involvement of PD-L1 on tumor cells in the escape from host immune system and tumor immunotherapy by PD-L1 blockade. Proc Natl Acad Sci USA 99(19):12293-7"
"113","24931142","Janku F, Kaseb AO, Tsimberidou AM, et al. (2014) Identification of novel therapeutic targets in the PI3K/AKT/mTOR pathway in hepatocellular carcinoma using targeted next generation sequencing. Oncotarget 5(10):3012-22"
"114","21216929","Janku F, Tsimberidou AM, Garrido-Laguna I, et al. (2011) PIK3CA mutations in patients with advanced cancers treated with PI3K/AKT/mTOR axis inhibitors. Mol Cancer Ther 10(3):558-65"
"115","22271473","Janku F, Wheler JJ, Westin SN, et al. (2012) PI3K/AKT/mTOR inhibitors in patients with breast and gynecologic malignancies harboring PIK3CA mutations. J Clin Oncol 30(8):777-82"
"116","23221341","Jessen WJ, Miller SJ, Jousma E, et al. (2013) MEK inhibition exhibits efficacy in human and mouse neurofibromatosis tumors. J Clin Invest 123(1):340-7"
"117","20027112","Jett K, Friedman JM (2010) Clinical and genetic aspects of neurofibromatosis 1. Genet Med 12(1):1-11"
"118","24293293","Jiao Y, Yonescu R, Offerhaus GJ, et al. (2014) Whole-exome sequencing of pancreatic neoplasms with acinar differentiation. J Pathol 232(4):428-35"
"119","18410249","Joerger AC, Fersht AR (2008) Structural biology of the tumor suppressor p53. Annu Rev Biochem 77:557-82"
"120","18164202","Johannessen CM, Johnson BW, Williams SM, et al. (2008) TORC1 is essential for NF1-associated malignancies. Curr Biol 18(1):56-62"
"121","15937108","Johannessen CM, Reczek EE, James MF, et al. (2005) The NF1 tumor suppressor critically regulates TSC2 and mTOR. Proc Natl Acad Sci USA 102(24):8573-8"
"122","27683556","Johanns TM, Miller CA, Dorward IG, et al. (2016) Immunogenomics of Hypermutated Glioblastoma: a Patient with Germline POLE Deficiency Treated with Checkpoint Blockade Immunotherapy. Cancer Discov ePub Sep 2016"
"123","27671167","Johnson DB, Frampton GM, Rioth MJ, et al. (2016) Targeted next generation sequencing identifies markers of response to PD-1 blockade. Cancer Immunol Res ePub Sep 2016"
"124","22009941","Jones S, Li M, Parsons DW, et al. (2012) Somatic mutations in the chromatin remodeling gene ARID1A occur in several tumor types. Hum Mutat 33(1):100-3"
"125","20826764","Jones S, Wang TL, Shih IeM, et al. (2010) Frequent mutations of chromatin remodeling gene ARID1A in ovarian clear cell carcinoma. Science 330(6001):228-31"
"126","25907661","Jousma E, Rizvi TA, Wu J, et al. (2015) Preclinical assessments of the MEK inhibitor PD-0325901 in a mouse model of Neurofibromatosis type 1. Pediatr Blood Cancer 62(10):1709-16"
"127","19671852","Kalinsky K, Jacks LM, Heguy A, et al. (2009) PIK3CA mutation associates with improved outcome in breast cancer. Clin Cancer Res 15(16):5049-59"
"128","20978130","Kamada R, Nomura T, Anderson CW, et al. (2011) Cancer-associated p53 tetramerization domain mutants: quantitative analysis reveals a low threshold for tumor suppressor inactivation. J Biol Chem 286(1):252-8"
"129","22928966","Kamat N, Khidhir MA, Jaloudi M, et al. (2012) High incidence of microsatellite instability and loss of heterozygosity in three loci in breast cancer patients receiving chemotherapy: a prospective study. BMC Cancer 12:373"
"130","23011637","Kang D, Cho HS, Toyokawa G, et al. (2013) The histone methyltransferase Wolf-Hirschhorn syndrome candidate 1-like 1 (WHSC1L1) is involved in human carcinogenesis. Genes Chromosomes Cancer 52(2):126-39"
"131","15647370","Kang S, Bader AG, Vogt PK (2005) Phosphatidylinositol 3-kinase mutations identified in human cancer are oncogenic. Proc Natl Acad Sci USA 102(3):802-7"
"132","22101352","Katagiri A, Nakayama K, Rahman MT, et al. (2012) Loss of ARID1A expression is related to shorter progression-free survival and chemoresistance in ovarian clear cell carcinoma. Mod Pathol 25(2):282-8"
"133","19633047","Kataoka Y, Mukohara T, Shimada H, et al. (2010) Association between gain-of-function mutations in PIK3CA and resistance to HER2-targeted agents in HER2-amplified breast cancer cell lines. Ann Oncol 21(2):255-62"
"134","12826609","Kato S, Han SY, Liu W, et al. (2003) Understanding the function-structure and function-mutation relationships of p53 tumor suppressor protein by high-resolution missense mutation analysis. Proc Natl Acad Sci USA 100(14):8424-9"
"135","18173375","Keir ME, Butte MJ, Freeman GJ, et al. (2008) PD-1 and its ligands in tolerance and immunity. Annu Rev Immunol 26:677-704"
"136","1918816","Kidd DJ (1991) Preparing illustrations for half-tone reproduction. 1952. J Audiov Media Med 14(1):35-8"
"137","26552009","Kim KH, Kim W, Howard TP, et al. (2015) SWI/SNF-mutant cancers depend on catalytic and non-catalytic activity of EZH2. Nat Med 21(12):1491-6"
"138","16682010","Kim SM, Kee HJ, Eom GH, et al. (2006) Characterization of a novel WHSC1-associated SET domain protein with H3K4 and H3K27 methyltransferase activity. Biochem Biophys Res Commun 345(1):318-23"
"139","25240597","Kim SS, Rait A, Kim E, et al. (2015) A tumor-targeting p53 nanodelivery system limits chemoresistance to temozolomide prolonging survival in a mouse model of glioblastoma multiforme. Nanomedicine 11(2):301-11"
"140","9006316","Kleihues P, Schäuble B, zur Hausen A, et al. (1997) Tumors associated with p53 germline mutations: a synopsis of 91 families. Am J Pathol 150(1):1-13"
"141","26337942","Kocarnik JM, Shiovitz S, Phipps AI (2015) Molecular phenotypes of colorectal cancer and potential clinical applications. Gastroenterol Rep (Oxf) 3(4):269-76"
"142","26214590","Krauthammer M, Kong Y, Bacchiocchi A, et al. (2015) Exome sequencing identifies recurrent mutations in NF1 and RASopathy genes in sun-exposed melanomas. Nat Genet 47(9):996-1002"
"143","26140250","Kroemer G, Galluzzi L, Zitvogel L, et al. (2015) Colorectal cancer: the first neoplasia found to be under immunosurveillance and the last one to respond to immunotherapy? Oncoimmunology 4(7):e1058597"
"144","25949894","Lal N, Beggs AD, Willcox BE, et al. (2015) An immunogenomic stratification of colorectal cancer: Implications for development of targeted immunotherapy. Oncoimmunology 4(3):e976052"
"145","12672316","Lalloo F, Varley J, Ellis D, et al. (2003) Prediction of pathogenic mutations in patients with early-onset breast cancer by family history. Lancet 361(9363):1101-2"
"146","25265494","Larkin J, Ascierto PA, Dréno B, et al. (2014) Combined Vemurafenib and Cobimetinib in BRAF-Mutated Melanoma. N Engl J Med ePub Sep 2014"
"147","26027431","Larkin J, Chiarion-Sileni V, Gonzalez R, et al. (2015) Combined Nivolumab and Ipilimumab or Monotherapy in Untreated Melanoma. N Engl J Med 373(1):23-34"
"148","2103068","Laurenti R, Buchalla CM, de Lolio CA, et al. (1990) [Mortality among women in reproductive age in the municipality of São Paulo, Brazil, 1986. II. Deaths by maternal causes]. Rev Saude Publica 24(6):468-72"
"149","26028255","Le DT, Uram JN, Wang H, et al. (2015) PD-1 Blockade in Tumors with Mismatch-Repair Deficiency. N Engl J Med ePub May 2015"
